datetime.now(),getAccelX(),getAccelY(),getAccelZ(),getAccelXScaled(),getAccelYScaled(),getAccelZScaled(),getGyroX(),getGyroY(),getGyroZ(),getGyroXScaled(),getGyroYScaled(),getGyroZScaled(),getXRotation(),getYRotation(),getForwardProximity(),steering_angle,throttle
2019-03-13 19:31:42.048824,132,816,16396,-0.002197265625,0.03515625,1.0166015625,-295,91,22,-3.7938931297709924,0.8625954198473282,0.16793893129770993,2.7622891616047367,-0.2756089593525229,44.12,87,7569
2019-03-13 19:31:42.180717,100,700,16664,0.00244140625,0.04248046875,1.01708984375,-274,99,28,-2.3587786259541983,0.5725190839694656,0.2595419847328244,2.780352144860453,0.715685285451416,44.24,88,7744
2019-03-13 19:31:42.312647,156,868,16584,0.00341796875,0.0478515625,1.022216796875,-279,85,15,-2.4198473282442747,0.48091603053435117,0.2366412213740458,3.4672293217261863,-0.2644432902949892,44.61,89,7921
2019-03-13 19:31:42.444701,52,792,16528,0.00146484375,0.045654296875,1.00830078125,-303,100,48,-2.183206106870229,0.648854961832061,0.19083969465648856,3.487972107388741,-0.382001666079889,45.06,90,8100
2019-03-13 19:31:42.576957,80,820,16420,0.00537109375,0.044189453125,1.016357421875,-322,89,35,-0.183206106870229,0.7022900763358778,0.2748091603053435,2.6691130637066216,-0.06939376031064783,44.22,91,8281
2019-03-13 19:31:42.712084,124,848,16624,0.001708984375,0.04833984375,1.01171875,-349,109,31,-2.427480916030534,0.7786259541984732,0.2900763358778626,2.7813704787923053,-0.055331395308794794,45.06,92,8464
2019-03-13 19:31:42.844091,136,796,16868,0.006591796875,0.03271484375,1.0029296875,-284,96,32,-2.381679389312977,0.6946564885496184,0.12213740458015267,2.664202903722027,-0.08252578759243272,44.61,93,8649
2019-03-13 19:31:42.976039,92,1000,16552,0.0078125,0.050048828125,1.015625,-263,71,21,-3.8473282442748094,0.7709923664122137,0.19083969465648856,2.7569171488271658,-0.22177711248219162,45.02,94,8836
2019-03-13 19:31:43.107988,-12,524,16600,0.004150390625,0.048828125,1.01953125,-232,75,40,-2.5343511450381677,0.5725190839694656,0.19083969465648856,2.809089142027597,-0.31686361595129847,44.23,95,9025
2019-03-13 19:31:43.240132,152,980,16648,0.00390625,0.049560546875,1.012939453125,-307,106,38,-2.198473282442748,0.648854961832061,0.19083969465648856,2.6170804780141594,-0.395456084052137,44.73,96,9216
